year,county,State,industry,GreatLakeConsumption,GroundwaterConsumption,InlandConsumption,AllConsumption,Industry Rank
2013,Antrim,Michigan,Irrigation,0,3117546189,45713163,3163259352,1
2013,Antrim,Michigan,Public Water Supply,0,389677366,0,389677366,2
2013,Antrim,Michigan,Industrial-Manufacturing,0,67036483,0,67036483,3
2013,Antrim,Michigan,Other,0,12687725,0,12687725,4
2013,Antrim,Michigan,Commercial-Institutional,0,699800,0,699800,5
2013,Antrim,Michigan,Livestock,0,342900,0,342900,6
2013,Antrim,Michigan,Electric Power Generation,0,0,0,0,7
2013,Arenac,Michigan,Public Water Supply,14163483434,6444599,0,14169928034,1
2013,Arenac,Michigan,Irrigation,0,157544241,222809608,380353849,2
2013,Arenac,Michigan,Commercial-Institutional,0,0,0,0,3
2013,Arenac,Michigan,Electric Power Generation,0,0,0,0,3
2013,Arenac,Michigan,Industrial-Manufacturing,0,0,0,0,3
2013,Arenac,Michigan,Livestock,0,0,0,0,3
2013,Arenac,Michigan,Other,0,0,0,0,3
2013,Baraga,Michigan,Electric Power Generation,5922720000,0,0,5922720000,1
2013,Baraga,Michigan,Public Water Supply,184490000,0,0,184490000,2
2013,Baraga,Michigan,Industrial-Manufacturing,127461184,0,0,127461184,3
2013,Baraga,Michigan,Irrigation,0,0,3484992,3484992,4
2013,Baraga,Michigan,Commercial-Institutional,0,0,0,0,5
2013,Baraga,Michigan,Livestock,0,0,0,0,5
2013,Baraga,Michigan,Other,0,0,0,0,5
2013,Barry,Michigan,Irrigation,0,885570293,336439244,1222009537,1
2013,Barry,Michigan,Public Water Supply,0,506691879,0,506691879,2
2013,Barry,Michigan,Industrial-Manufacturing,0,150068924,35810000,185878924,3
2013,Barry,Michigan,Livestock,0,98008505,840000,98848505,4
2013,Barry,Michigan,Commercial-Institutional,0,1250002,0,1250002,5
2013,Barry,Michigan,Other,0,542500,0,542500,6
2013,Barry,Michigan,Electric Power Generation,0,0,0,0,7
2013,Bay,Michigan,Electric Power Generation,0,0,199494271748,199494271748,1
2013,Bay,Michigan,Public Water Supply,3007090600,0,0,3007090600,2
2013,Bay,Michigan,Irrigation,1885000,63796349,1410685775,1476367124,3
2013,Bay,Michigan,Industrial-Manufacturing,57600000,379940,808746230,866726170,4
2013,Bay,Michigan,Commercial-Institutional,0,0,0,0,5
2013,Bay,Michigan,Livestock,0,0,0,0,5
2013,Bay,Michigan,Other,0,0,0,0,5
2013,Benzie,Michigan,Livestock,0,13767450,2411985120,2425752570,1
2013,Benzie,Michigan,Irrigation,0,303544512,0,303544512,2
2013,Benzie,Michigan,Public Water Supply,0,257974140,0,257974140,3
2013,Benzie,Michigan,Industrial-Manufacturing,0,97101491,0,97101491,4
2013,Benzie,Michigan,Commercial-Institutional,0,13111251,0,13111251,5
2013,Benzie,Michigan,Other,0,11879500,0,11879500,6
2013,Benzie,Michigan,Electric Power Generation,0,0,0,0,7
2013,Berrien,Michigan,Electric Power Generation,731124000000,0,0,731124000000,1
2013,Berrien,Michigan,Irrigation,1680000,5291059728,1785215655,7077955383,2
2013,Berrien,Michigan,Public Water Supply,3653757000,1105811325,0,4759568325,3
2013,Berrien,Michigan,Industrial-Manufacturing,0,859216260,0,859216260,4
2013,Berrien,Michigan,Commercial-Institutional,0,78134800,0,78134800,5
2013,Berrien,Michigan,Livestock,0,55744000,0,55744000,6
2013,Berrien,Michigan,Other,0,22750950,0,22750950,7
2013,Branch,Michigan,Irrigation,0,6304608065,3542307514,9846915579,1
2013,Branch,Michigan,Public Water Supply,0,973226446,0,973226446,2
2013,Branch,Michigan,Industrial-Manufacturing,0,7000000,127666640,134666640,3
2013,Branch,Michigan,Livestock,0,32667000,0,32667000,4
2013,Branch,Michigan,Commercial-Institutional,0,1434400,0,1434400,5
2013,Branch,Michigan,Other,0,19000,0,19000,6
2013,Branch,Michigan,Electric Power Generation,0,0,0,0,7
2013,Calhoun,Michigan,Public Water Supply,0,4519547477,0,4519547477,1
2013,Calhoun,Michigan,Irrigation,0,1574221253,852731794,2426953047,2
2013,Calhoun,Michigan,Industrial-Manufacturing,0,1053292219,398696691,1451988910,3
2013,Calhoun,Michigan,Commercial-Institutional,0,241048359,88138,241136497,4
2013,Calhoun,Michigan,Other,0,129776000,0,129776000,5
2013,Calhoun,Michigan,Livestock,0,11436000,0,11436000,6
2013,Calhoun,Michigan,Electric Power Generation,0,0,0,0,7
2013,Cass,Michigan,Irrigation,0,14468893338,1014887014,15483780352,1
2013,Cass,Michigan,Public Water Supply,0,476130469,0,476130469,2
2013,Cass,Michigan,Industrial-Manufacturing,0,4169800,381285000,385454800,3
2013,Cass,Michigan,Other,0,88620100,0,88620100,4
2013,Cass,Michigan,Livestock,0,39438332,0,39438332,5
2013,Cass,Michigan,Commercial-Institutional,0,5510000,0,5510000,6
2013,Cass,Michigan,Electric Power Generation,0,0,0,0,7
2013,Charlevoix,Michigan,Industrial-Manufacturing,850540000,4335580200,894549427,6080669627,1
2013,Charlevoix,Michigan,Public Water Supply,256024000,528102699,0,784126700,2
2013,Charlevoix,Michigan,Commercial-Institutional,0,468664108,0,468664108,3
2013,Charlevoix,Michigan,Irrigation,0,48038600,53391000,101429600,4
2013,Charlevoix,Michigan,Electric Power Generation,0,0,0,0,5
2013,Charlevoix,Michigan,Livestock,0,0,0,0,5
2013,Charlevoix,Michigan,Other,0,0,0,0,5
2013,Cheboygan,Michigan,Irrigation,0,89123230,3369092938,3458216168,1
2013,Cheboygan,Michigan,Public Water Supply,0,849343300,0,849343300,2
2013,Cheboygan,Michigan,Industrial-Manufacturing,0,3383598,110335182,113718780,3
2013,Cheboygan,Michigan,Commercial-Institutional,0,0,0,0,4
2013,Cheboygan,Michigan,Electric Power Generation,0,0,0,0,4
2013,Cheboygan,Michigan,Livestock,0,0,0,0,4
2013,Cheboygan,Michigan,Other,0,0,0,0,4
2013,Chippewa,Michigan,Public Water Supply,573230000,354435199,0,927665200,1
2013,Chippewa,Michigan,Industrial-Manufacturing,343200000,0,0,343200000,2
2013,Chippewa,Michigan,Other,164337600,0,0,164337600,3
2013,Chippewa,Michigan,Irrigation,5803000,50678206,0,56481206,4
2013,Chippewa,Michigan,Livestock,0,28305000,0,28305000,5
2013,Chippewa,Michigan,Commercial-Institutional,0,2213400,0,2213400,6
2013,Chippewa,Michigan,Electric Power Generation,0,0,0,0,7
2013,Clare,Michigan,Industrial-Manufacturing,0,31068450,452360000,483428450,1
2013,Clare,Michigan,Public Water Supply,0,382708400,0,382708400,2
2013,Clare,Michigan,Irrigation,0,96095404,7026789,103122193,3
2013,Clare,Michigan,Commercial-Institutional,0,16961562,0,16961562,4
2013,Clare,Michigan,Livestock,0,2777000,0,2777000,5
2013,Clare,Michigan,Electric Power Generation,0,0,0,0,6
2013,Clare,Michigan,Other,0,0,0,0,6
2013,Clinton,Michigan,Irrigation,0,427897227,1023041768,1450938995,1
2013,Clinton,Michigan,Public Water Supply,0,471916558,0,471916558,2
2013,Clinton,Michigan,Livestock,0,295172150,0,295172150,3
2013,Clinton,Michigan,Industrial-Manufacturing,0,194240000,0,194240000,4
2013,Clinton,Michigan,Commercial-Institutional,0,3577400,0,3577400,5
2013,Clinton,Michigan,Electric Power Generation,0,0,0,0,6
2013,Clinton,Michigan,Other,0,0,0,0,6
2013,Crawford,Michigan,Public Water Supply,0,197723511,0,197723511,1
2013,Crawford,Michigan,Irrigation,0,31444000,66173000,97617000,2
2013,Crawford,Michigan,Electric Power Generation,0,79404000,0,79404000,3
2013,Crawford,Michigan,Commercial-Institutional,0,41494000,0,41494000,4
2013,Crawford,Michigan,Industrial-Manufacturing,0,35404692,0,35404692,5
2013,Crawford,Michigan,Livestock,0,0,0,0,6
2013,Crawford,Michigan,Other,0,0,0,0,6
2013,Delta,Michigan,Industrial-Manufacturing,13647493000,45307438,122467194,13815267632,1
2013,Delta,Michigan,Electric Power Generation,3473620033,0,0,3473620033,2
2013,Delta,Michigan,Public Water Supply,729230000,34632638,0,763862638,3
2013,Delta,Michigan,Irrigation,23880000,3992100,39642172,67514272,4
2013,Delta,Michigan,Commercial-Institutional,1266400,5950,1400000,2672350,5
2013,Delta,Michigan,Livestock,0,0,0,0,6
2013,Delta,Michigan,Other,0,0,0,0,6
2013,Dickinson,Michigan,Industrial-Manufacturing,0,110428000,7777020000,7887448000,1
2013,Dickinson,Michigan,Public Water Supply,0,853144875,0,853144875,2
2013,Dickinson,Michigan,Irrigation,0,37100000,26420000,63520000,3
2013,Dickinson,Michigan,Commercial-Institutional,0,20500,0,20500,4
2013,Dickinson,Michigan,Electric Power Generation,0,0,0,0,5
2013,Dickinson,Michigan,Livestock,0,0,0,0,5
2013,Dickinson,Michigan,Other,0,0,0,0,5
2013,Eaton,Michigan,Public Water Supply,0,1050602103,0,1050602103,1
2013,Eaton,Michigan,Electric Power Generation,0,0,715315000,715315000,2
2013,Eaton,Michigan,Irrigation,0,124928167,50768778,175696945,3
2013,Eaton,Michigan,Commercial-Institutional,0,958741,0,958741,4
2013,Eaton,Michigan,Industrial-Manufacturing,0,950000,0,950000,5
2013,Eaton,Michigan,Livestock,0,0,0,0,6
2013,Eaton,Michigan,Other,0,0,0,0,6
2013,Emmet,Michigan,Livestock,0,2897474324,445996024,3343470348,1
2013,Emmet,Michigan,Public Water Supply,0,1304724416,0,1304724416,2
2013,Emmet,Michigan,Other,0,339953112,31600000,371553112,3
2013,Emmet,Michigan,Irrigation,55400000,177961342,4040000,237401342,4
2013,Emmet,Michigan,Commercial-Institutional,0,213748240,0,213748240,5
2013,Emmet,Michigan,Industrial-Manufacturing,0,9750000,0,9750000,6
2013,Emmet,Michigan,Electric Power Generation,0,0,0,0,7
2013,Genesee,Michigan,Public Water Supply,0,2360095959,0,2360095959,1
2013,Genesee,Michigan,Irrigation,0,132061215,107615271,239676486,2
2013,Genesee,Michigan,Electric Power Generation,0,50564285,0,50564285,3
2013,Genesee,Michigan,Commercial-Institutional,0,5572710,0,5572710,4
2013,Genesee,Michigan,Industrial-Manufacturing,0,4840920,0,4840920,5
2013,Genesee,Michigan,Livestock,0,0,0,0,6
2013,Genesee,Michigan,Other,0,0,0,0,6
2013,Gladwin,Michigan,Public Water Supply,0,174419380,0,174419380,1
2013,Gladwin,Michigan,Irrigation,0,0,7722430,7722430,2
2013,Gladwin,Michigan,Industrial-Manufacturing,0,677544,0,677544,3
2013,Gladwin,Michigan,Commercial-Institutional,0,0,0,0,4
2013,Gladwin,Michigan,Electric Power Generation,0,0,0,0,4
2013,Gladwin,Michigan,Livestock,0,0,0,0,4
2013,Gladwin,Michigan,Other,0,0,0,0,4
2013,Gogebic,Michigan,Public Water Supply,0,582904200,0,582904200,1
2013,Gogebic,Michigan,Industrial-Manufacturing,0,60000000,0,60000000,2
2013,Gogebic,Michigan,Commercial-Institutional,0,4929600,42000000,46929600,3
2013,Gogebic,Michigan,Electric Power Generation,0,0,0,0,4
2013,Gogebic,Michigan,Irrigation,0,0,0,0,4
2013,Gogebic,Michigan,Livestock,0,0,0,0,4
2013,Gogebic,Michigan,Other,0,0,0,0,4
2013,Grand Traverse,Michigan,Public Water Supply,1883420000,681696149,0,2565116150,1
2013,Grand Traverse,Michigan,Irrigation,0,361100401,47358110,408458511,2
2013,Grand Traverse,Michigan,Industrial-Manufacturing,0,236313057,0,236313057,3
2013,Grand Traverse,Michigan,Other,0,26994344,0,26994344,4
2013,Grand Traverse,Michigan,Commercial-Institutional,0,13468088,0,13468088,5
2013,Grand Traverse,Michigan,Electric Power Generation,0,0,0,0,6
2013,Grand Traverse,Michigan,Livestock,0,0,0,0,6
2013,Gratiot,Michigan,Irrigation,0,3689511660,499090444,4188602104,1
2013,Gratiot,Michigan,Public Water Supply,0,784160700,91903000,876063700,2
2013,Gratiot,Michigan,Industrial-Manufacturing,0,543859,180075000,180618859,3
2013,Gratiot,Michigan,Livestock,0,157562960,0,157562960,4
2013,Gratiot,Michigan,Commercial-Institutional,0,2500,0,2500,5
2013,Gratiot,Michigan,Electric Power Generation,0,0,0,0,6
2013,Gratiot,Michigan,Other,0,0,0,0,6
2013,Hillsdale,Michigan,Irrigation,0,1341205163,856108279,2197313442,1
2013,Hillsdale,Michigan,Public Water Supply,0,1098957690,0,1098957690,2
2013,Hillsdale,Michigan,Industrial-Manufacturing,0,380036820,0,380036820,3
2013,Hillsdale,Michigan,Commercial-Institutional,0,236628632,0,236628632,4
2013,Hillsdale,Michigan,Electric Power Generation,0,161756374,223080,161979454,5
2013,Hillsdale,Michigan,Livestock,0,52161550,0,52161550,6
2013,Hillsdale,Michigan,Other,0,0,0,0,7
2013,Houghton,Michigan,Public Water Supply,0,1118041000,0,1118041000,1
2013,Houghton,Michigan,Irrigation,0,8571618,9762000,18333618,2
2013,Houghton,Michigan,Commercial-Institutional,0,0,0,0,3
2013,Houghton,Michigan,Electric Power Generation,0,0,0,0,3
2013,Houghton,Michigan,Industrial-Manufacturing,0,0,0,0,3
2013,Houghton,Michigan,Livestock,0,0,0,0,3
2013,Houghton,Michigan,Other,0,0,0,0,3
2013,Huron,Michigan,Electric Power Generation,7594800000,0,0,7594800000,1
2013,Huron,Michigan,Public Water Supply,721460512,162874240,0,884334752,2
2013,Huron,Michigan,Irrigation,2826000,69752200,487794857,560373057,3
2013,Huron,Michigan,Livestock,0,53865130,0,53865130,4
2013,Huron,Michigan,Industrial-Manufacturing,0,16150000,0,16150000,5
2013,Huron,Michigan,Commercial-Institutional,0,10847198,1179000,12026198,6
2013,Huron,Michigan,Other,0,920000,0,920000,7
2013,Ingham,Michigan,Electric Power Generation,0,0,27216128300,27216128300,1
2013,Ingham,Michigan,Public Water Supply,0,11352940209,0,11352940209,2
2013,Ingham,Michigan,Irrigation,0,370633994,148351861,518985855,3
2013,Ingham,Michigan,Commercial-Institutional,0,32901160,72000,32973160,4
2013,Ingham,Michigan,Industrial-Manufacturing,0,31509421,0,31509421,5
2013,Ingham,Michigan,Livestock,0,132100,0,132100,6
2013,Ingham,Michigan,Other,0,0,0,0,7
2013,Ionia,Michigan,Public Water Supply,0,1788917158,0,1788917158,1
2013,Ionia,Michigan,Irrigation,0,846533655,289489255,1136022910,2
2013,Ionia,Michigan,Livestock,0,148654242,0,148654242,3
2013,Ionia,Michigan,Industrial-Manufacturing,0,63579205,0,63579205,4
2013,Ionia,Michigan,Commercial-Institutional,0,53104505,0,53104505,5
2013,Ionia,Michigan,Other,0,523605,0,523605,6
2013,Ionia,Michigan,Electric Power Generation,0,0,0,0,7
2013,Iosco,Michigan,Public Water Supply,407644170,2196500,0,409840670,1
2013,Iosco,Michigan,Irrigation,0,61800000,55900000,117700000,2
2013,Iosco,Michigan,Industrial-Manufacturing,0,14249006,16372706,30621712,3
2013,Iosco,Michigan,Commercial-Institutional,0,0,0,0,4
2013,Iosco,Michigan,Electric Power Generation,0,0,0,0,4
2013,Iosco,Michigan,Livestock,0,0,0,0,4
2013,Iosco,Michigan,Other,0,0,0,0,4
2013,Iron,Michigan,Public Water Supply,0,506895400,0,506895400,1
2013,Iron,Michigan,Irrigation,0,12448000,12879250,25327250,2
2013,Iron,Michigan,Commercial-Institutional,0,0,0,0,3
2013,Iron,Michigan,Electric Power Generation,0,0,0,0,3
2013,Iron,Michigan,Industrial-Manufacturing,0,0,0,0,3
2013,Iron,Michigan,Livestock,0,0,0,0,3
2013,Iron,Michigan,Other,0,0,0,0,3
2013,Isabella,Michigan,Irrigation,0,1610879445,642349609,2253229054,1
2013,Isabella,Michigan,Public Water Supply,0,1014543475,0,1014543475,2
2013,Isabella,Michigan,Industrial-Manufacturing,0,0,465000000,465000000,3
2013,Isabella,Michigan,Electric Power Generation,0,21205103,0,21205103,4
2013,Isabella,Michigan,Livestock,0,16967470,0,16967470,5
2013,Isabella,Michigan,Commercial-Institutional,0,3072000,0,3072000,6
2013,Isabella,Michigan,Other,0,0,0,0,7
2013,Jackson,Michigan,Public Water Supply,0,3893158468,0,3893158468,1
2013,Jackson,Michigan,Irrigation,0,1840665279,838551731,2679217010,2
2013,Jackson,Michigan,Livestock,0,999960000,0,999960000,3
2013,Jackson,Michigan,Industrial-Manufacturing,0,185473900,180918000,366391900,4
2013,Jackson,Michigan,Commercial-Institutional,0,137457360,0,137457360,5
2013,Jackson,Michigan,Electric Power Generation,0,0,0,0,6
2013,Jackson,Michigan,Other,0,0,0,0,6
2013,Kalamazoo,Michigan,Public Water Supply,0,9160958270,0,9160958270,1
2013,Kalamazoo,Michigan,Industrial-Manufacturing,0,7013692663,993177507,8006870170,2
2013,Kalamazoo,Michigan,Irrigation,0,5948540299,1457748321,7406288620,3
2013,Kalamazoo,Michigan,Commercial-Institutional,0,115825196,7899000,123724196,4
2013,Kalamazoo,Michigan,Other,0,96000000,0,96000000,5
2013,Kalamazoo,Michigan,Livestock,0,17842960,0,17842960,6
2013,Kalamazoo,Michigan,Electric Power Generation,0,0,0,0,7
2013,Kalkaska,Michigan,Irrigation,0,1845609862,660744708,2506354570,1
2013,Kalkaska,Michigan,Public Water Supply,0,162657000,0,162657000,2
2013,Kalkaska,Michigan,Commercial-Institutional,0,119035392,0,119035392,3
2013,Kalkaska,Michigan,Electric Power Generation,0,0,0,0,4
2013,Kalkaska,Michigan,Industrial-Manufacturing,0,0,0,0,4
2013,Kalkaska,Michigan,Livestock,0,0,0,0,4
2013,Kalkaska,Michigan,Other,0,0,0,0,4
2013,Kent,Michigan,Public Water Supply,25495033000,2657501700,0,28152534701,1
2013,Kent,Michigan,Irrigation,0,1745022871,801362199,2546385070,2
2013,Kent,Michigan,Industrial-Manufacturing,0,322235769,184661790,506897559,3
2013,Kent,Michigan,Commercial-Institutional,0,329786067,62012465,391798532,4
2013,Kent,Michigan,Electric Power Generation,0,0,124994520,124994520,5
2013,Kent,Michigan,Other,0,62003045,0,62003045,6
2013,Kent,Michigan,Livestock,0,35032000,0,35032000,7
2013,Keweenaw,Michigan,Public Water Supply,0,15880771,0,15880771,1
2013,Keweenaw,Michigan,Irrigation,2811427,702856,0,3514283,2
2013,Keweenaw,Michigan,Commercial-Institutional,0,0,0,0,3
2013,Keweenaw,Michigan,Electric Power Generation,0,0,0,0,3
2013,Keweenaw,Michigan,Industrial-Manufacturing,0,0,0,0,3
2013,Keweenaw,Michigan,Livestock,0,0,0,0,3
2013,Keweenaw,Michigan,Other,0,0,0,0,3
2013,Lake,Michigan,Public Water Supply,0,95440820,0,95440820,1
2013,Lake,Michigan,Irrigation,0,20200000,0,20200000,2
2013,Lake,Michigan,Commercial-Institutional,0,0,0,0,3
2013,Lake,Michigan,Electric Power Generation,0,0,0,0,3
2013,Lake,Michigan,Industrial-Manufacturing,0,0,0,0,3
2013,Lake,Michigan,Livestock,0,0,0,0,3
2013,Lake,Michigan,Other,0,0,0,0,3
2013,Lapeer,Michigan,Industrial-Manufacturing,0,377632000,0,377632000,1
2013,Lapeer,Michigan,Public Water Supply,0,143924899,0,143924899,2
2013,Lapeer,Michigan,Irrigation,0,47479994,93032020,140512014,3
2013,Lapeer,Michigan,Commercial-Institutional,0,123650,0,123650,4
2013,Lapeer,Michigan,Electric Power Generation,0,0,0,0,5
2013,Lapeer,Michigan,Livestock,0,0,0,0,5
2013,Lapeer,Michigan,Other,0,0,0,0,5
2013,Leelanau,Michigan,Irrigation,5875008,592957553,49177009,648009570,1
2013,Leelanau,Michigan,Industrial-Manufacturing,0,261501983,12345300,273847283,2
2013,Leelanau,Michigan,Public Water Supply,0,168290036,0,168290036,3
2013,Leelanau,Michigan,Other,0,24176815,939720,25116535,4
2013,Leelanau,Michigan,Commercial-Institutional,0,5638228,0,5638228,5
2013,Leelanau,Michigan,Livestock,0,370330,0,370330,6
2013,Leelanau,Michigan,Electric Power Generation,0,0,0,0,7
2013,Lenawee,Michigan,Public Water Supply,0,1535520137,943695350,2479215487,1
2013,Lenawee,Michigan,Irrigation,0,312359747,576802986,889162733,2
2013,Lenawee,Michigan,Industrial-Manufacturing,0,223981132,5250000,229231132,3
2013,Lenawee,Michigan,Livestock,0,67869684,0,67869684,4
2013,Lenawee,Michigan,Commercial-Institutional,0,12568133,0,12568133,5
2013,Lenawee,Michigan,Electric Power Generation,0,0,0,0,6
2013,Lenawee,Michigan,Other,0,0,0,0,6
2013,Livingston,Michigan,Public Water Supply,0,2485276954,0,2485276954,1
2013,Livingston,Michigan,Industrial-Manufacturing,0,288388189,857500000,1145888189,2
2013,Livingston,Michigan,Irrigation,0,110806765,177012298,287819063,3
2013,Livingston,Michigan,Commercial-Institutional,0,27996214,0,27996214,4
2013,Livingston,Michigan,Other,0,814110,0,814110,5
2013,Livingston,Michigan,Electric Power Generation,0,0,0,0,6
2013,Livingston,Michigan,Livestock,0,0,0,0,6
2013,Luce,Michigan,Irrigation,0,428183036,0,428183036,1
2013,Luce,Michigan,Public Water Supply,0,158700000,0,158700000,2
2013,Luce,Michigan,Industrial-Manufacturing,0,16420704,0,16420704,3
2013,Luce,Michigan,Commercial-Institutional,0,0,0,0,4
2013,Luce,Michigan,Electric Power Generation,0,0,0,0,4
2013,Luce,Michigan,Livestock,0,0,0,0,4
2013,Luce,Michigan,Other,0,0,0,0,4
2013,Mackinac,Michigan,Public Water Supply,413050000,4632099,0,417682100,1
2013,Mackinac,Michigan,Irrigation,11085000,90580575,7195000,108860575,2
2013,Mackinac,Michigan,Commercial-Institutional,0,0,0,0,3
2013,Mackinac,Michigan,Electric Power Generation,0,0,0,0,3
2013,Mackinac,Michigan,Industrial-Manufacturing,0,0,0,0,3
2013,Mackinac,Michigan,Livestock,0,0,0,0,3
2013,Mackinac,Michigan,Other,0,0,0,0,3
2013,Macomb,Michigan,Public Water Supply,1061510000,393206963,0,1454716963,1
2013,Macomb,Michigan,Irrigation,27743908,134748654,689823186,852315748,2
2013,Macomb,Michigan,Commercial-Institutional,0,7755209,0,7755209,3
2013,Macomb,Michigan,Industrial-Manufacturing,0,6978212,377000,7355212,4
2013,Macomb,Michigan,Other,0,157700,108250,265950,5
2013,Macomb,Michigan,Livestock,0,152950,0,152950,6
2013,Macomb,Michigan,Electric Power Generation,0,0,0,0,7
2013,Manistee,Michigan,Industrial-Manufacturing,0,246333600,10158292488,10404626088,1
2013,Manistee,Michigan,Irrigation,0,493592283,125675400,619267683,2
2013,Manistee,Michigan,Public Water Supply,0,519405055,0,519405055,3
2013,Manistee,Michigan,Electric Power Generation,0,68682406,321876174,390558580,4
2013,Manistee,Michigan,Commercial-Institutional,0,11500,0,11500,5
2013,Manistee,Michigan,Livestock,0,0,0,0,6
2013,Manistee,Michigan,Other,0,0,0,0,6
2013,Marquette,Michigan,Electric Power Generation,71137062500,0,0,71137062500,1
2013,Marquette,Michigan,Industrial-Manufacturing,0,126216976,6719903671,6846120647,2
2013,Marquette,Michigan,Livestock,0,358128000,4320000000,4678128000,3
2013,Marquette,Michigan,Public Water Supply,891210000,1002590103,0,1893800103,4
2013,Marquette,Michigan,Irrigation,0,9189000,35938120,45127120,5
2013,Marquette,Michigan,Commercial-Institutional,0,43804,0,43804,6
2013,Marquette,Michigan,Other,0,0,0,0,7
2013,Mason,Michigan,Industrial-Manufacturing,0,149210550,8019698126,8168908676,1
2013,Mason,Michigan,Irrigation,0,749457948,260688754,1010146702,2
2013,Mason,Michigan,Public Water Supply,622111000,96821900,0,718932900,3
2013,Mason,Michigan,Livestock,0,19914113,0,19914113,4
2013,Mason,Michigan,Commercial-Institutional,0,14942196,1995900,16938096,5
2013,Mason,Michigan,Other,0,14479650,1900000,16379650,6
2013,Mason,Michigan,Electric Power Generation,0,0,0,0,7
2013,Mecosta,Michigan,Irrigation,0,3820410241,306036342,4126446583,1
2013,Mecosta,Michigan,Public Water Supply,0,522818364,0,522818364,2
2013,Mecosta,Michigan,Industrial-Manufacturing,0,328950298,0,328950298,3
2013,Mecosta,Michigan,Livestock,0,33898835,0,33898835,4
2013,Mecosta,Michigan,Commercial-Institutional,0,7771914,0,7771914,5
2013,Mecosta,Michigan,Other,0,4635870,0,4635870,6
2013,Mecosta,Michigan,Electric Power Generation,0,0,0,0,7
2013,Menominee,Michigan,Industrial-Manufacturing,0,0,605890000,605890000,1
2013,Menominee,Michigan,Public Water Supply,352200000,48670400,0,400870400,2
2013,Menominee,Michigan,Irrigation,0,0,10000000,10000000,3
2013,Menominee,Michigan,Livestock,0,8734450,0,8734450,4
2013,Menominee,Michigan,Commercial-Institutional,0,0,0,0,5
2013,Menominee,Michigan,Electric Power Generation,0,0,0,0,5
2013,Menominee,Michigan,Other,0,0,0,0,5
2013,Midland,Michigan,Industrial-Manufacturing,0,4636488,1331498000,1336134488,1
2013,Midland,Michigan,Irrigation,0,82813732,120079336,202893068,2
2013,Midland,Michigan,Public Water Supply,0,62106111,0,62106111,3
2013,Midland,Michigan,Livestock,0,45436022,0,45436022,4
2013,Midland,Michigan,Commercial-Institutional,0,0,0,0,5
2013,Midland,Michigan,Electric Power Generation,0,0,0,0,5
2013,Midland,Michigan,Other,0,0,0,0,5
2013,Missaukee,Michigan,Irrigation,0,2539928593,100466944,2640395537,1
2013,Missaukee,Michigan,Electric Power Generation,0,136400000,0,136400000,2
2013,Missaukee,Michigan,Public Water Supply,0,119389000,0,119389000,3
2013,Missaukee,Michigan,Livestock,0,83476580,0,83476580,4
2013,Missaukee,Michigan,Industrial-Manufacturing,0,27564340,0,27564340,5
2013,Missaukee,Michigan,Commercial-Institutional,0,6245400,0,6245400,6
2013,Missaukee,Michigan,Other,0,0,0,0,7
2013,Monroe,Michigan,Electric Power Generation,639054246935,47082665,0,639101329600,1
2013,Monroe,Michigan,Industrial-Manufacturing,0,8510011148,0,8510011148,2
2013,Monroe,Michigan,Public Water Supply,3379966000,14089700,0,3394055700,3
2013,Monroe,Michigan,Irrigation,0,371136357,227126301,598262658,4
